Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
7590000,1.314263,679.2045454545455,209.53424,971.1611932908946,971.1611932908946,240.26544,0.019911265,0.00018638854,0.16212948,0.003110262,1.0
7620000,1.3141817,619.46,210.53857,895.9208599949876,895.9208599949876,292.2963,0.019841112,0.00018591201,0.16197065,0.0031023356,1.0
7650000,1.3140503,830.2285714285714,229.7441,1159.9636010737033,1159.9636010737033,157.21318,0.021373512,0.00018544219,0.16181408,0.0030945216,1.0
7680000,1.3136415,579.5438596491229,185.57068,806.0649311092665,806.0649311092665,211.81015,0.023755144,0.00018496765,0.16165587,0.0030866277,1.0
7710000,1.3137017,563.1666666666666,200.70702,827.9175194983299,827.9175194983299,356.56415,0.024756998,0.00018449314,0.16149767,0.0030787354,1.0
7740000,1.3136636,700.2093023255813,216.52284,973.1684809257818,973.1684809257818,314.26324,0.028142061,0.00018417144,0.16139044,0.0030733848,1.0
7770000,1.3134176,699.1162790697674,230.75397,981.5892815853274,981.5892815853274,234.24417,0.023984365,0.0001837091,0.16123635,0.0030656941,1.0
7800000,1.3134648,759.8974358974359,231.26422,1077.2480335357861,1077.2480335357861,215.44704,0.025074115,0.00018323831,0.16107944,0.0030578643,1.0
7830000,1.3133717,746.7560975609756,226.39342,1055.9999845580357,1055.9999845580357,156.82181,0.022646185,0.0001827667,0.16092223,0.0030500183,1.0
7860000,1.3131618,728.325,228.1919,1034.224246238172,1034.224246238172,206.52715,0.021951754,0.0001822907,0.16076359,0.0030421016,1.0
7890000,1.3130974,681.8297872340426,212.95558,966.3558645654808,966.3558645654808,220.27194,0.02206089,0.00018181962,0.16060655,0.0030342662,1.0
7920000,1.3129015,811.0,233.54826,1138.5689669925916,1138.5689669925916,135.278,0.023744809,0.00018135305,0.16045098,0.003026505,1.0
7950000,1.3129178,647.695652173913,218.88069,926.7395507822866,926.7395507822866,144.91995,0.01875168,0.0001810398,0.16034657,0.0030212938,1.0
7980000,1.3126975,807.081081081081,244.54564,1144.7025192750466,1144.7025192750466,292.34467,0.020734943,0.00018057234,0.16019079,0.003013519,1.0
8010000,1.3123811,778.5897435897435,233.34196,1121.4196041684884,1121.4196041684884,104.680244,0.017547058,0.00018010152,0.16003379,0.0030056883,1.0
8040000,1.3121359,699.6046511627907,222.23976,1012.4279370751492,1012.4279370751492,181.39261,0.01786879,0.00017963159,0.15987715,0.0029978703,1.0
8070000,1.3119259,774.0,226.69617,1118.2707993215636,1118.2707993215636,105.90098,0.026851827,0.00017915702,0.15971898,0.0029899771,1.0
8100000,1.3119209,751.375,225.18137,1102.7735055804253,1102.7735055804253,95.41776,0.021026675,0.00017869152,0.15956382,0.0029822341,1.0
8130000,1.3117821,796.8684210526316,242.81035,1153.2444554739877,1153.2444554739877,185.85646,0.025015248,0.00017822723,0.15940906,0.0029745116,1.0
8160000,1.3114945,524.6206896551724,201.42627,875.4939999198914,875.4939999198914,214.96057,0.027025625,0.00017775473,0.15925157,0.0029666526,1.0
8190000,1.311444,466.51612903225805,177.12636,597.5766922158855,597.5766922158855,513.007,0.023574775,0.0001772829,0.1590943,0.0029588048,1.0
8220000,1.3115896,444.94202898550725,160.07204,648.5897610654001,648.5897610654001,167.46542,0.024513124,0.00017696469,0.15898818,0.002953512,1.0
8250000,1.3117446,435.9264705882353,156.97726,628.0481496865259,628.0481496865259,257.0712,0.02756863,0.00017649462,0.1588315,0.0029456923,1.0
8280000,1.3116989,342.7613636363636,138.7652,489.5865375521508,489.5865375521508,364.9952,0.026233932,0.00017602679,0.1586756,0.0029379108,1.0
8310000,1.3117405,427.3918918918919,156.66083,598.142899460356,598.142899460356,357.13812,0.026778705,0.00017555156,0.15851715,0.002930006,1.0
8340000,1.3114413,472.2241379310345,177.84198,715.4452346377685,715.4452346377685,429.5444,0.026764246,0.00017506484,0.1583549,0.00292191,1.0
8370000,1.3114113,571.8301886792453,189.35866,849.5843923395535,849.5843923395535,209.15428,0.021029513,0.00017475609,0.15825199,0.002916775,1.0
8400000,1.3110824,506.0169491525424,171.29436,743.9714661821471,743.9714661821471,214.77321,0.024576547,0.0001742827,0.15809421,0.002908902,1.0
8430000,1.3108662,595.26,201.31238,881.2169414281846,881.2169414281846,199.49806,0.020291038,0.00017380013,0.15793332,0.0029008747,1.0
8460000,1.3106219,510.5,190.12842,753.6664766093095,753.6664766093095,391.08926,0.022605233,0.00017332989,0.1577766,0.002893053,1.0
8490000,1.3102381,635.1739130434783,206.52339,957.4702035810636,957.4702035810636,336.567,0.02040869,0.00017285589,0.1576186,0.0028851693,1.0
8520000,1.3100241,521.4516129032259,182.88107,806.163338392973,806.163338392973,250.69507,0.022431025,0.00017238234,0.1574608,0.002877292,1.0
8550000,1.3098013,466.93333333333334,181.13881,678.9492836829388,678.9492836829388,337.3552,0.021510227,0.00017191001,0.15730332,0.0028694351,1.0
8580000,1.3097843,588.5490196078431,203.07489,887.8941350427328,887.8941350427328,433.35004,0.018590191,0.00017160183,0.15720063,0.0028643096,1.0
8610000,1.3097466,479.0967741935484,166.70335,711.3004353253111,711.3004353253111,318.81714,0.021086931,0.0001711328,0.15704425,0.002856508,1.0
8640000,1.309428,608.88,210.00215,924.5676733970643,924.5676733970643,240.13364,0.0228852,0.00017066758,0.15688914,0.0028487688,1.0
8670000,1.3092039,644.6086956521739,206.3826,975.3322132903596,975.3322132903596,215.87238,0.02046492,0.00017020106,0.15673363,0.00284101,1.0
